niche,count
powder_coating_service,1
pretzels,1
process_servers,1
promotional_products_and_services,1
prosthetics,1
psychic_medium,1
puerto_rican_restaurant,1
pumpkin_patch,1
reflexology,1
restaurant_wholesale,1
rodeo,1
sandblasting_service,1
scale_supplier,1
science_schools,1
sculpture_statue,1
senior_citizen_services,1
sikh_temple,1
skylight_installation,1
soup_restaurant,1
spanish_restaurant,1
sports_psychologist,1
spray_tanning,1
surgical_appliances_and_supplies,1
tableware_supplier,1
tai_chi_studio,1
talent_agency,1
telephone_services,1
tennis_court,1
threading_service,1
ticket_sales,1
tiki_bar,1
tile_store,1
trailer_dealer,1
trains,1
truck_dealer_for_businesses,1
tui_na,1
vehicle_shipping,1
vending_machine_supplier,1
walking_tours,1
water_softening_equipment_supplier,1
waterproofing,1
whiskey_bar,1
woodworking_supply_store,1
writing_service,1
